name,address,postal_code,latitude,longitude,SMSQ,operatingHours
Marina Bay Sands,2 Bayfront Ave #01-30 The Shoppes at Marina Bay Sands,Singapore 018972,1.28395,103.85885,8318 4336,"<p>Business Hours:<br />Mon - Fri: 10.00am to 6.00pm <br />Sat: 10.00am to 2.30pm<br />Sundays and Public Holidays: Closed.</p><p>Counter cash services and remittances only.</p><p>Personal &amp; Corporate account opening is available online. For other corporate transactions, you may proceed to DBS MBFC Branch to be served.</p>"
MBFC Branch,12 Marina Boulevard Level 3 MBFC Tower 3,Singapore 018982,1.279132,103.85464,8318 4335,<p>Business Hours:<br />Mon - Fri: 8.30 AM - 4.30 PM<br />Sat: 8.30 AM - 1.00 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Suntec City Branch,3 Temasek Boulevard #02-709/710/711 Suntec City Mall,Singapore 038983,1.29599,103.85895,8318 4347,<p>Business Hours:<br />Mon - Fri:10.00am to 6.00pm<br />Sat: 10.00am to 2.30pm</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
DBS Raffles Link Branch,"1 Raffles Link, #B1-28/30 City Link Mall",Singapore 039393,1.292009,103.8536913,8318 4340,<p>Business Hours:<br />Mon - Fri: 10.00 AM - 6.00 PM<br />Sat: 10.00 AM - 2.30 PM<br />Closed on Sundays &amp; Public Holidays</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Raffles Place Branch,22 Malacca Street #01-00 RB Capital Building ,Singapore 048980,1.2839,103.85083,8318 4341,"<p>Business Hours:<br />Mon - Fri: 8.30 AM - 4.30 PM<br />Sat: 8.30 AM - 1.00 PM</p><p>As part of our ongoing efforts to serve you better, we are renovating DBS South Bridge Branch, located at Blk 531 Upper Cross Street, Hong Lim Complex, #01-51, Singapore 050531, from 28 April 2017 to 2 July 2017.</p><p>We seek your kind understanding as we may experience higher transaction volume at DBS Raffles Place Branch during this period. To get your queue number, SMS &lsquo;Q&rsquo; to 91842285.</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>"
Raffles Place Service Centre,"11 Collyer Quay, #02-25, The Arcade",Singapore 049317,1.28369,103.85236,8318 4342,<p>Business Hours:<br />Mon - Fri: 8.30am to 4.30pm <br />Sat: 8.30am to 1.00pm</p><p>All cash transactions must be made at ATMs</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
South Bridge Branch,Blk 531 Upper Cross Street #01-51 Hong Lim Complex ,Singapore 050531,1.28443,103.84622,8318 4346,<p>Business Hours:<br />Mon - Fri: 8.30 AM - 4.30 PM<br />Sat: 8.30 AM - 1.00 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Tanjong Pagar Branch,Blk 1 Tanjong Pagar #01-41/44 Tanjong Pagar Plaza,Singapore 082001,1.27573,103.84283,8318 4381,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Harbourfront Branch,1 MARITIME Square #02-122/123 Harbourfront Centre,Singapore 099253,1.26455,103.8193,8318 4330,<p>Business Hours:<br />Mon - Fri: 8.30 AM - 4.30 PM<br />Sat: 8.30 AM - 1.00 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
NUS Remix Branch,31 Lower Kent Ridge Road #01-02 Yusof Ishak House,Singapore 119078,1.29825,103.77526,8318 4337,<p>Business Hours:<br />Mon - Fri: 8.30 AM - 4.30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed</p><p>Personal Banking Services only.</p><p>All cash transactions must be made at ATM &amp; ATM+ machines. <br /> Corporate account opening is available online.</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Alexandra Branch,460 Alexandra Road #02-33/34 Alexandra Retail Centre,Singapore 119963,1.27367,103.80138,8318 4320,<p>Business Hours:<br />Mon - Fri: 8.30 AM - 4.30 PM<br />Sat: 8.30 AM - 1.00 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Clementi Central Branch,Blk 449 Clementi Avenue 3 #01-243,Singapore 120449,1.31339,103.76491,8318 4363,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Clementi Branch,Blk 450 Clementi Avenue 3 #01-293/295,Singapore 120450,1.31358,103.76537,8318 4328,<p>Business Hours:<br />Mon - Fri: 8.30 AM - 4.30 PM<br />Sat: 8.30 AM - 1.00 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Tiong Bahru Branch,"302 Tiong Bahru Road, Tiong Bahru Plaza #01-123/124 ",Singapore 168732,1.286586,103.826923,8318 4382,<p>Business Hours:<br />Mon - Sat: 11:00 AM - 7:00 PM<br />Closed on Sun and Public Holidays.</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Newton Branch,135 Bukit Timah Road Newton Building,Singapore 229837,1.31047,103.84354,8318 4373,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
ESCAPE Branch,2 Orchard Link #02-07/08 Scape Building,Singapore 237978,1.301058,103.835756,8318 4343,<p>Business Hours<br />Mon - Fri 10.00 AM - 6.00PM<br />Sat: 10.00 AM - 2.30PM<br />Sundays and Public Holidays: Closed</p><p>All cash transactions must be made at our withdrawal/deposit machines.<br /> Corporate account opening and remittances is available online.</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Plaza Singapura Branch,68 Orchard Road #B1-25 Plaza Singapura,Singapore 238839,1.30061,103.8451,8318 4339,<p>Business Hours:<br />Mon - Fri: 10.00 AM - 6.00 PM<br />Sat: 10.00 AM - 2.30 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
CentrePoint Branch,176 Orchard Road #01-27 CentrePoint,Singapore 238843,1.30145,103.8401,8318 4362,<p>Business Hours:<br />Mon - Sat: 11:00 AM - 7:00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Ngee Ann City Branch,391 Orchard Road #04-15 Ngee Ann City,Singapore 238872,1.30271,103.83429,8318 4374,<p>Business Hours:<br />Mon - Sat: 11:00 AM - 7:00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Buona Vista Branch,Blk 43 Holland Drive #01-59,Singapore 270043,1.30744,103.7929,8318 4361,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM<br />Sundays and Public Holidays: Closed</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
DBS Holland V Branch,"Raffles Holland V , 118 Holland Avenue #02-05",Singapore 278997,1.310323,103.795686,8318 4331,"<p>Business Hours:<br />Mon &ndash; Fri : 8.30am to 4.30pm<br />Sat : 8.30am to 1.00pm <br />Sundays and Public Holidays: Closed</p><p>Corporate account opening is available online. For other corporate transactions, you may proceed to POSB Buona Vista Branch to be served.</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>"
Square 2 Branch,10 Sinaran Drive #02-19/20 Square 2,Singapore 307506,1.32106,103.84448,8318 4378,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Toa Payoh Central Branch,480 Toa Payoh Lorong 6 #01-09 Hdb Hub,Singapore 310480,1.33225,103.84854,8318 4383,<p>Business Hours:<br />Mon - Fri: 8:30 AM - 4:30 PM<br />Sat: 8.30 AM - 1.00 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Toa Payoh Branch,520 Toa Payoh Lorong 6 #02-50 Hdb Hub,Singapore 310520,1.33319,103.84751,8318 4352,<p>Business Hours:<br />Mon - Fri: 8.30 AM - 4.30 PM<br />Sat: 8.30 AM - 1.00 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Towner Road Branch,Blk 101 Towner Road #01-238/240/242 ,Singapore 322101,1.31996,103.86139,8318 4353,<p>Business Hours:<br />Mon - Fri: 8.30 AM - 4.30 PM<br />Sat: 8.30 AM - 1.00 PM</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Aperia Branch,"12 Kallang Avenue, #01-24 ",Singapore 339511,1.309891,103.864342,8318 4323,<p>Business Hours:<br />Mon - Fri: 8.30 AM - 4.30 PM<br />Sat: 8.30 AM - 1.00 PM<br /><br />Closed on Sun and Public Holidays</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
Paya Lebar Branch,"10 Eunos Road 8, Singapore Post Centre, #01-106/107/108",Singapore 408600,1.319291,103.8926303,8318 4397,<p>Business Hours:<br />Mon - Fri : 8.30am - 4.30pm<br />Sat : 8.30am - 1.00pm<br />Closed on Sun and Public Holidays</p><p>The issuance of queue numbers may end earlier if there are more customers than we can serve.</p>
